session_id,user_id,listing_id,doc_type,time_spent_sec,pages_viewed,downloaded,device_type,investor_type
SES000001,USR00001,LST007,Property Brochure (Unit Specific),23,4,False,Mobile,Returning
SES000001,USR00001,LST007,Whitepaper,129,4,False,Mobile,Returning
SES000001,USR00001,LST007,Projections (XLSX),248,3,True,Mobile,Returning
SES000004,USR00001,LST024,Property Valuation Report,53,5,False,Mobile,Returning
SES000005,USR00001,LST004,Property Valuation Report,8,2,False,Mobile,Returning
SES000005,USR00001,LST004,Whitepaper,44,1,False,Mobile,Returning
SES000006,USR00002,LST017,Property Brochure,53,2,False,Mobile,Returning
SES000006,USR00002,LST017,Investment Memorandum,139,1,False,Mobile,Returning
SES000006,USR00002,LST017,Projections (XLSX),249,9,False,Mobile,Returning
SES000006,USR00002,LST017,Property Brochure (Unit Specific),83,3,False,Mobile,Returning
SES000006,USR00002,LST017,Property Valuation Report,47,3,False,Mobile,Returning
SES000010,USR00004,LST023,Investment Memorandum,67,9,False,Mobile,First-time
SES000011,USR00005,LST011,Projections (XLSX),79,2,True,Mobile,First-time
SES000013,USR00006,LST018,Investment Memorandum,248,7,False,Mobile,First-time
SES000014,USR00007,LST012,Property Valuation Report,8,7,False,Mobile,First-time
SES000014,USR00007,LST012,Investment Memorandum,56,12,False,Mobile,First-time
SES000014,USR00007,LST012,Property Brochure (Unit Specific),38,3,False,Mobile,First-time
SES000018,USR00010,LST004,Projections (XLSX),591,6,True,Desktop,First-time
SES000018,USR00010,LST004,Property Valuation Report,128,6,False,Desktop,First-time
SES000018,USR00010,LST004,Property Brochure (Unit Specific),110,3,False,Desktop,First-time
SES000018,USR00010,LST004,Property Brochure,167,4,True,Desktop,First-time
SES000018,USR00010,LST004,Whitepaper,35,4,False,Desktop,First-time
SES000023,USR00013,LST024,Property Brochure (Unit Specific),9,4,False,Desktop,First-time
SES000026,USR00014,LST024,Property Valuation Report,43,2,True,Mobile,Returning
SES000026,USR00014,LST024,Whitepaper,39,5,False,Mobile,Returning
SES000026,USR00014,LST024,Property Brochure,66,1,False,Mobile,Returning
SES000030,USR00015,LST025,Investment Memorandum,217,4,True,Desktop,First-time
SES000030,USR00015,LST025,Property Valuation Report,97,2,False,Desktop,First-time
SES000030,USR00015,LST025,Property Brochure (Unit Specific),52,3,False,Desktop,First-time
SES000030,USR00015,LST025,Property Brochure,22,3,True,Desktop,First-time
SES000030,USR00015,LST025,Whitepaper,22,4,False,Desktop,First-time
SES000032,USR00016,LST030,Investment Memorandum,70,6,True,Mobile,Returning
SES000032,USR00016,LST030,Property Brochure (Unit Specific),156,2,False,Mobile,Returning
SES000032,USR00016,LST030,Whitepaper,37,5,False,Mobile,Returning
SES000032,USR00016,LST030,Property Valuation Report,43,2,False,Mobile,Returning
SES000032,USR00016,LST030,Property Brochure,8,3,False,Mobile,Returning
SES000034,USR00016,LST004,Investment Memorandum,180,10,True,Mobile,Returning
SES000034,USR00016,LST004,Whitepaper,95,5,True,Mobile,Returning
SES000034,USR00016,LST004,Projections (XLSX),56,2,True,Mobile,Returning
SES000034,USR00016,LST004,Property Brochure,16,1,False,Mobile,Returning
SES000034,USR00016,LST004,Property Valuation Report,86,2,False,Mobile,Returning
SES000042,USR00020,LST006,Projections (XLSX),394,8,True,Tablet,First-time
SES000042,USR00020,LST006,Investment Memorandum,607,7,False,Tablet,First-time
SES000047,USR00023,LST003,Property Brochure (Unit Specific),91,3,True,Desktop,First-time
SES000050,USR00024,LST013,Property Brochure,29,2,False,Mobile,Returning
SES000050,USR00024,LST013,Projections (XLSX),74,7,True,Mobile,Returning
SES000050,USR00024,LST013,Whitepaper,33,6,False,Mobile,Returning
SES000050,USR00024,LST013,Investment Memorandum,167,9,False,Mobile,Returning
SES000050,USR00024,LST013,Property Brochure (Unit Specific),83,4,False,Mobile,Returning
SES000050,USR00024,LST013,Property Valuation Report,148,3,False,Mobile,Returning
SES000052,USR00024,LST023,Projections (XLSX),315,7,True,Mobile,Returning
SES000052,USR00024,LST023,Investment Memorandum,836,8,False,Mobile,Returning
SES000052,USR00024,LST023,Property Brochure,162,1,False,Mobile,Returning
SES000055,USR00027,LST013,Whitepaper,114,5,False,Mobile,First-time
SES000058,USR00027,LST017,Property Brochure,425,1,False,Mobile,First-time
SES000060,USR00028,LST020,Whitepaper,942,1,False,Tablet,First-time
SES000061,USR00029,LST028,Property Brochure,18,2,False,Mobile,First-time
SES000086,USR00046,LST008,Property Brochure,8,3,False,Mobile,First-time
