session_id,user_id,listing_id,stage,timestamp,device_type,investor_type
SES000000,USR00001,LST019,Homepage,2025-01-21 11:17:40,Mobile,Returning
SES000000,USR00001,LST019,Listing Browse,2025-01-21 11:22:40,Mobile,Returning
SES000000,USR00001,LST019,Listing Detail View,2025-01-21 11:24:40,Mobile,Returning
SES000001,USR00001,LST007,Homepage,2025-02-22 20:02:22,Mobile,Returning
SES000001,USR00001,LST007,Listing Browse,2025-02-22 20:07:22,Mobile,Returning
SES000001,USR00001,LST007,Listing Detail View,2025-02-22 20:13:22,Mobile,Returning
SES000001,USR00001,LST007,Document Engagement,2025-02-22 20:16:22,Mobile,Returning
SES000002,USR00001,LST029,Homepage,2025-01-10 03:58:03,Mobile,Returning
SES000003,USR00001,LST019,Homepage,2025-01-17 15:23:05,Mobile,Returning
SES000003,USR00001,LST019,Listing Browse,2025-01-17 15:27:05,Mobile,Returning
SES000004,USR00001,LST024,Homepage,2025-01-23 15:42:40,Mobile,Returning
SES000004,USR00001,LST024,Listing Browse,2025-01-23 15:44:40,Mobile,Returning
SES000004,USR00001,LST024,Listing Detail View,2025-01-23 15:51:40,Mobile,Returning
SES000004,USR00001,LST024,Document Engagement,2025-01-23 15:54:40,Mobile,Returning
SES000004,USR00001,LST024,KYC Initiation,2025-01-23 15:59:40,Mobile,Returning
SES000005,USR00001,LST004,Homepage,2025-03-08 03:12:59,Mobile,Returning
SES000005,USR00001,LST004,Listing Browse,2025-03-08 03:17:59,Mobile,Returning
SES000005,USR00001,LST004,Listing Detail View,2025-03-08 03:18:59,Mobile,Returning
SES000005,USR00001,LST004,Document Engagement,2025-03-08 03:22:59,Mobile,Returning
SES000006,USR00002,LST017,Homepage,2024-11-26 06:45:07,Mobile,Returning
SES000006,USR00002,LST017,Listing Browse,2024-11-26 06:53:07,Mobile,Returning
SES000006,USR00002,LST017,Listing Detail View,2024-11-26 06:58:07,Mobile,Returning
SES000006,USR00002,LST017,Document Engagement,2024-11-26 07:05:07,Mobile,Returning
SES000006,USR00002,LST017,KYC Initiation,2024-11-26 07:10:07,Mobile,Returning
SES000006,USR00002,LST017,Token Selection,2024-11-26 07:11:07,Mobile,Returning
SES000006,USR00002,LST017,Payment Initiated,2024-11-26 07:16:07,Mobile,Returning
SES000007,USR00002,LST011,Homepage,2024-11-28 20:34:51,Mobile,Returning
SES000007,USR00002,LST011,Listing Browse,2024-11-28 20:38:51,Mobile,Returning
SES000008,USR00003,LST008,Homepage,2025-03-23 21:03:27,Desktop,Returning
SES000008,USR00003,LST008,Listing Browse,2025-03-23 21:10:27,Desktop,Returning
SES000009,USR00003,LST028,Homepage,2025-03-26 14:26:02,Desktop,Returning
SES000009,USR00003,LST028,Listing Browse,2025-03-26 14:30:02,Desktop,Returning
SES000010,USR00004,LST023,Homepage,2025-01-23 13:09:59,Mobile,First-time
SES000010,USR00004,LST023,Listing Browse,2025-01-23 13:16:59,Mobile,First-time
SES000010,USR00004,LST023,Listing Detail View,2025-01-23 13:18:59,Mobile,First-time
SES000010,USR00004,LST023,Document Engagement,2025-01-23 13:22:59,Mobile,First-time
SES000010,USR00004,LST023,KYC Initiation,2025-01-23 13:30:59,Mobile,First-time
SES000010,USR00004,LST023,Token Selection,2025-01-23 13:36:59,Mobile,First-time
SES000011,USR00005,LST011,Homepage,2025-02-03 13:59:42,Mobile,First-time
SES000011,USR00005,LST011,Listing Browse,2025-02-03 14:07:42,Mobile,First-time
SES000011,USR00005,LST011,Listing Detail View,2025-02-03 14:14:42,Mobile,First-time
SES000011,USR00005,LST011,Document Engagement,2025-02-03 14:21:42,Mobile,First-time
SES000012,USR00005,LST022,Homepage,2025-01-20 05:21:47,Mobile,First-time
SES000012,USR00005,LST022,Listing Browse,2025-01-20 05:28:47,Mobile,First-time
SES000012,USR00005,LST022,Listing Detail View,2025-01-20 05:30:47,Mobile,First-time
SES000013,USR00006,LST018,Homepage,2024-12-28 23:12:51,Mobile,First-time
SES000013,USR00006,LST018,Listing Browse,2024-12-28 23:13:51,Mobile,First-time
SES000013,USR00006,LST018,Listing Detail View,2024-12-28 23:17:51,Mobile,First-time
SES000013,USR00006,LST018,Document Engagement,2024-12-28 23:25:51,Mobile,First-time
SES000013,USR00006,LST018,KYC Initiation,2024-12-28 23:29:51,Mobile,First-time
SES000013,USR00006,LST018,Token Selection,2024-12-28 23:34:51,Mobile,First-time
SES000014,USR00007,LST012,Homepage,2025-03-25 19:25:54,Mobile,First-time
SES000014,USR00007,LST012,Listing Browse,2025-03-25 19:29:54,Mobile,First-time
SES000014,USR00007,LST012,Listing Detail View,2025-03-25 19:33:54,Mobile,First-time
SES000014,USR00007,LST012,Document Engagement,2025-03-25 19:41:54,Mobile,First-time
SES000015,USR00008,LST024,Homepage,2024-11-26 12:28:01,Mobile,First-time
SES000015,USR00008,LST024,Listing Browse,2024-11-26 12:34:01,Mobile,First-time
SES000016,USR00009,LST011,Homepage,2024-12-13 01:57:16,Mobile,First-time
SES000016,USR00009,LST011,Listing Browse,2024-12-13 01:58:16,Mobile,First-time
SES000016,USR00009,LST011,Listing Detail View,2024-12-13 01:59:16,Mobile,First-time
SES000017,USR00010,LST014,Homepage,2025-01-05 05:32:16,Desktop,First-time
SES000017,USR00010,LST014,Listing Browse,2025-01-05 05:38:16,Desktop,First-time
SES000018,USR00010,LST004,Homepage,2024-12-03 23:43:02,Desktop,First-time
SES000018,USR00010,LST004,Listing Browse,2024-12-03 23:44:02,Desktop,First-time
SES000018,USR00010,LST004,Listing Detail View,2024-12-03 23:51:02,Desktop,First-time
SES000018,USR00010,LST004,Document Engagement,2024-12-03 23:57:02,Desktop,First-time
SES000019,USR00011,LST016,Homepage,2024-11-17 17:09:36,Mobile,Returning
SES000019,USR00011,LST016,Listing Browse,2024-11-17 17:13:36,Mobile,Returning
SES000020,USR00011,LST025,Homepage,2024-11-18 06:37:17,Mobile,Returning
SES000021,USR00011,LST013,Homepage,2024-11-03 17:26:19,Mobile,Returning
SES000021,USR00011,LST013,Listing Browse,2024-11-03 17:29:19,Mobile,Returning
SES000021,USR00011,LST013,Listing Detail View,2024-11-03 17:34:19,Mobile,Returning
SES000022,USR00012,LST030,Homepage,2024-12-13 09:58:30,Desktop,First-time
