user_id,registration_date,investor_type,nationality,age_bracket,device_type,acquisition_channel,kyc_status
USR00001,2025-01-10,Returning,Indian Expat,26-32,Mobile,Referral,Verified
USR00002,2024-11-15,Returning,British Expat,33-40,Mobile,Direct,Verified
USR00003,2025-03-22,Returning,Pakistani Expat,26-32,Desktop,Organic Search,Verified
USR00004,2024-11-28,First-time,Indian Expat,18-25,Mobile,Paid Social,Not Started
USR00005,2025-01-04,First-time,Indian Expat,26-32,Mobile,Paid Social,Pending
USR00006,2024-12-03,First-time,Other,26-32,Mobile,Paid Social,Not Started
USR00007,2025-02-08,First-time,Pakistani Expat,26-32,Mobile,Organic Search,Verified
USR00008,2024-11-14,First-time,Emirati,18-25,Mobile,Email Campaign,Verified
USR00009,2024-10-19,First-time,Saudi,18-25,Mobile,Direct,Pending
USR00010,2024-11-28,First-time,Filipino Expat,26-32,Desktop,Organic Search,Verified
USR00011,2024-10-07,Returning,Filipino Expat,51+,Mobile,Email Campaign,Verified
USR00012,2024-10-26,First-time,Saudi,26-32,Desktop,Paid Social,Verified
USR00013,2025-02-16,First-time,Emirati,26-32,Desktop,Paid Social,Pending
USR00014,2024-11-18,Returning,British Expat,26-32,Mobile,Direct,Verified
USR00015,2025-03-15,First-time,Indian Expat,33-40,Desktop,Email Campaign,Verified
USR00016,2024-10-15,Returning,Emirati,33-40,Mobile,Paid Social,Verified
USR00017,2024-10-08,First-time,Emirati,51+,Mobile,Referral,Pending
USR00018,2025-02-08,First-time,Saudi,26-32,Mobile,Email Campaign,Verified
USR00019,2024-10-28,Returning,Saudi,26-32,Mobile,Paid Social,Verified
USR00020,2024-10-28,First-time,Pakistani Expat,26-32,Tablet,Paid Social,Verified
USR00021,2025-01-13,First-time,Indian Expat,18-25,Mobile,Paid Social,Verified
USR00022,2024-10-14,First-time,Emirati,33-40,Mobile,Organic Search,Pending
USR00023,2025-01-05,First-time,Filipino Expat,41-50,Desktop,Direct,Verified
USR00024,2025-03-06,Returning,Saudi,18-25,Mobile,Direct,Verified
USR00025,2024-11-22,First-time,Saudi,26-32,Mobile,Referral,Not Started
USR00026,2025-02-22,First-time,Pakistani Expat,26-32,Mobile,Organic Search,Verified
USR00027,2025-03-06,First-time,Emirati,51+,Mobile,Email Campaign,Not Started
USR00028,2025-01-12,First-time,Pakistani Expat,51+,Tablet,Referral,Not Started
USR00029,2024-11-24,First-time,Emirati,51+,Mobile,Referral,Pending
USR00030,2025-02-01,First-time,Emirati,33-40,Mobile,Referral,Verified
USR00031,2024-10-24,First-time,Indian Expat,33-40,Desktop,Organic Search,Pending
USR00032,2025-03-20,Returning,Pakistani Expat,41-50,Mobile,Paid Social,Verified
USR00033,2024-10-21,Returning,Indian Expat,26-32,Tablet,Referral,Verified
USR00034,2024-11-29,First-time,Other,26-32,Mobile,Email Campaign,Verified
USR00035,2025-03-10,First-time,Emirati,26-32,Mobile,Direct,Verified
USR00036,2025-03-17,First-time,Emirati,33-40,Mobile,Direct,Not Started
USR00037,2024-10-29,First-time,Saudi,41-50,Desktop,Paid Social,Verified
USR00038,2024-11-14,First-time,Pakistani Expat,33-40,Mobile,Paid Social,Pending
USR00039,2025-03-04,First-time,Emirati,33-40,Desktop,Paid Social,Verified
USR00040,2024-10-18,First-time,Indian Expat,18-25,Mobile,Email Campaign,Not Started
USR00041,2025-01-16,Returning,Indian Expat,33-40,Desktop,Organic Search,Verified
USR00042,2024-12-18,First-time,Indian Expat,33-40,Tablet,Organic Search,Verified
USR00043,2024-12-07,First-time,British Expat,33-40,Mobile,Paid Social,Verified
USR00044,2024-11-10,First-time,Saudi,33-40,Desktop,Organic Search,Pending
USR00045,2025-01-17,Returning,Saudi,41-50,Tablet,Referral,Verified
USR00046,2024-10-30,First-time,Indian Expat,33-40,Mobile,Referral,Verified
USR00047,2024-11-03,Returning,British Expat,41-50,Mobile,Direct,Verified
USR00048,2025-03-26,First-time,Indian Expat,26-32,Mobile,Organic Search,Verified
USR00049,2025-03-18,First-time,Emirati,33-40,Mobile,Paid Social,Pending
USR00050,2024-11-09,Returning,Emirati,18-25,Mobile,Organic Search,Not Started
USR00051,2024-11-30,Returning,Saudi,33-40,Desktop,Paid Social,Verified
USR00052,2025-03-23,Returning,British Expat,51+,Tablet,Organic Search,Verified
USR00053,2025-02-27,First-time,Indian Expat,33-40,Tablet,Referral,Pending
USR00054,2024-10-25,First-time,Emirati,26-32,Mobile,Paid Social,Verified
USR00055,2024-11-14,Returning,Indian Expat,41-50,Mobile,Email Campaign,Verified
USR00056,2024-12-28,First-time,Indian Expat,26-32,Mobile,Organic Search,Not Started
USR00057,2024-12-08,Returning,Saudi,18-25,Tablet,Email Campaign,Verified
USR00058,2024-10-04,First-time,Saudi,41-50,Mobile,Direct,Pending
USR00059,2024-10-09,First-time,Indian Expat,33-40,Desktop,Organic Search,Verified
USR00060,2025-03-06,First-time,Indian Expat,33-40,Mobile,Email Campaign,Pending
USR00061,2024-10-11,Returning,British Expat,33-40,Desktop,Organic Search,Verified
USR00062,2024-10-27,Returning,Emirati,41-50,Tablet,Paid Social,Verified
USR00063,2025-03-09,Returning,Pakistani Expat,33-40,Mobile,Paid Social,Verified
USR00064,2025-01-01,Returning,Emirati,26-32,Mobile,Paid Social,Verified
USR00065,2024-10-01,Returning,Pakistani Expat,18-25,Tablet,Paid Social,Verified
USR00066,2025-02-16,First-time,Indian Expat,41-50,Mobile,Referral,Not Started
USR00067,2024-11-01,First-time,Emirati,26-32,Mobile,Paid Social,Not Started
USR00068,2025-03-12,First-time,Emirati,33-40,Mobile,Organic Search,Pending
USR00069,2025-01-06,First-time,British Expat,26-32,Mobile,Referral,Pending
USR00070,2025-02-11,Returning,Emirati,33-40,Mobile,Organic Search,Verified
